actual_headline,mt5_headline,mbart_headline,lstm_headline
ပိုလန်နှင့် လတ်ဗီးယားကို တိုက်ရန် စိတ်မဝင်စားဟု ရုရှားသမ္မတပူတင် ပြော,ယူကရိန်းစစ်ပွဲ အဆုံးထိတိုက်မည်ဟု ရုရှားသမ္မတပြော,ပိုလန်နှင့် လတ်ဗီးယားကို ချဲ့ထွင်ရန် ရုရှား စိတ်မဝင်စား,ရုရှားကိုအကိုအရန်အရန်အဟုဟုရုရှားပြော
မှတ်ဉာဏ်မကောင်းတော့သည့်အဘိုးကြီးဟု ပြောဆိုခံရမှုအပေါ် သမ္မတ ဘိုင်ဒင် ဒေါသတကြီး တုံ့ပြန်,အမေရိကန်သမ္မတဂျိုးဘိုင်ဒင် မှတ်ဉာဏ်သိပ်မကောင်းတော့သည့် သက်ကြီးရွယ်အို စွဲချက်မတင်တော့ဟု သမ္မတ ဘိုင် ဒင်ပြော,မှတ်ဉာဏ်သိပ်မကောင်းတော့သည့် သက်ကြီးရွယ်အိုဟု သမ္မတ ဘိုင်ဒင် စွဲချက်တင်,သမ္မတဘိုင်ဒင်အအအအအအအအအအအအ
အိုက်စလန်တွင် မီးတောင်ပေါက်ကွဲ,အိုက်စလန်တွင် မီးတောင်တလုံး ဒုတိယအကြိမ်ပေါက်ကွဲ,အိုက်စလန်မီးတောင် ဒုတိယအကြိမ်ပေါက်ကွဲ,စပိန်တွင်တောမီးလောင်ပေါက်ကွဲ
ရွေးကောက်ပွဲကော်မရှင်က ဘော်ရစ်နာဒက်ဇ်ဒင်န်ကို ရွေးကောက်ပွဲဝင်ပြိုင်ခွင့်မပေးမှု ရုရှားအစိုးရ ထောက်ခံ,သမ္မတရွေးကောက်ပွဲတွင် စစ်ဆန့်ကျင်ရေး ကိုယ်စားလှယ်လောင်း ဘော်ရစ်နာဒက်ဇ်ဒင်န်ကို တားမြစ်ရန် ရွေးကောက်ပွဲတာဝန်ရှိသူများ ဆုံးဖြတ်,စစ်ဆန့်ကျင်ရေး ကိုယ်စားလှယ်လောင်း ဘော်ရစ်နာဒက်ဇ်ဒင်န်ကို တားမြစ်မှု စည်းကမ်းချက်နှင့် ကိုက်ညီဟု သမ္မတ ပြော,ရွေးကောက်ပွဲပွဲရွေးကောက်ပွဲတွင်ရွေးကောက်ပွဲကိုအကိုအကိုအဖွဲ့ဝင်
အမေရိကန် ဆန်ဒီယေဂိုတွင် ရဟတ်ယာဉ်ပျက်ကျပြီး မရိမ်းတပ်သား ၅ ဦး ပျောက်ဆုံးနေ,အမေရိကန် မရိမ်းတပ်သားများ လိုက်ပါလာသည့် ရဟတ်ယာဉ် ပျောက်ဆုံး,အမေရိကန် မရိမ်းတပ်သားများ လိုက်ပါလာသည့် ရဟတ်ယာဉ် ပျောက်ဆုံး,အမေရိကန်တွင်လေယာဉ်အအအအအအအအအအဆုံး
အလုပ်ချိန်ပြင်ပ အလုပ်ရှင်ဖုန်းခေါ်ဆိုမှုကို လျစ်လျူရှုနိုင်မည့်ဥပဒေ သြစတြေးလျ အတည်ပြု,အလုပ်ရှင်သူဌေးများ ခေါ်ဆိုပေးပို့သည့် ဖုန်းနှင့်မက်ဆေ့ချ်များကို လျစ်လျူရှုနိုင်မည့် ဥပဒေသစ် သြစတြေးလန့်နိုင်ငံသားများက ထုတ်ပြန်,အလုပ်ချိန်ပြင်ပ အလုပ်ရှင်ခေါ်ဆိုသည့် ဖုန်းမက်ဆေ့ချ်များကို လျစ်လျူရှုနိုင်မည့် ဥပဒေ သြစတြေးလျတွင် ထုတ်ပြန်,အပဒေအအပညာစနစ်အပမည့်အစတြေးလျပညာစတင်
ပနားမားသမ္မတဟောင်း မာတီနယ်လီကို နီကာရာဂွါ ခိုလှုံခွင့်ပေး,ထောင်ဒဏ်နှစ်ရှည်ကျခံနေရသည့် ပနားမားသမ္မတဟောင်း မာတီနယ်လီကို အကာအကွယ်ပေးရန် တောင်းဆို,ပနားမားသမ္မတဟောင်း ထောင်ဒဏ်နှစ်ရှည်ကျခံနေရ,ရရကီသမ္မတဟောင်းဟောင်းဟောင်းသမ္မတဟောင်းကိုသမ္မတပူတင်
ဂါဇာအပစ်ရပ်ရေး ဟားမတ်စ်အဆိုပြုချက် အစ္စရေး ပယ်ချ,အစ္စရေးဝန်ကြီးချုပ် ဘင်ဂျမင်နေတန်ယာဟု အပစ်အခတ်ရပ်စဲရေး အဆိုပြုချက် ပယ်ချ,ဂါဇာစစ်ပွဲ အပစ်ရပ်ရေး ဟားမတ်စ်အဆိုပြုချက် အစ္စရေးပယ်ချ,ဂါဇာအအအအအအအအအအအအအအအအအအ
အီရတ်ရှိ ဟစ်ဇ်ဘိုလာ အကြီးတန်းတပ်မှူး ဒရုန်းဖြင့်တိုက်ခိုက်ခံရပြီး သေဆုံး,အီရတ်ရှိ အီရန်ကျောထောက်နောက်ခံပြု လက်နက်ကိုင်အဖွဲ့ ကာတစ်ဘ် ဟစ်ဇ်ဘိုလာ တပ်မှူး အယ်လ်ဆာဒီ ကိုဗစ်-၁၉ တိုက်ခိုက်ခံရ,ဟစ်ဇ်ဘိုလာ အကြီးတန်းတပ်မှူး အီရတ်ရောက်ရှိ,အီရတ်အစ္စရေးတိုက်ခိုက်မှုအခိုက်တိုက်ခိုက်
ယူကရိန်းကို စစ်ရေးနှင့် ဘဏ္ဍာရေး အကူအညီပေးရန် အီးယူအကြီးအကဲ ဆွေးနွေး,အီးယူနိုင်ငံခြားရေးမူဝါဒအကြီးအကဲ ဂျိုးဇက် ဘော်ရယ်လ် စစ်ရေးနှင့် ဘဏ္ဍာရေးပံ့ပိုးကူညီမှု အရေးယူ,အီးယူ စစ်ရေးနှင့် ဘဏ္ဍာရေးဆိုင်ရာ ပံ့ပိုးကူညီမှုအပေါ် အကြီးအကဲပြော,ယူကရိန်းအအအအအအအအအအအအအအအရေးအ
ဂါဇာ အပစ်အခတ်ရပ်စဲရေး အစီအစဉ် ဟားမတ်စ် အဆိုပြု,ဂါဇာကမ်းမြောင်ဒေသတွင် တိုက်ပွဲအသံငြိမ်သက်သွားစေမည့် အပစ်အခတ်ရပ်စဲရေး ဟားမတ်စ် အဆိုပြု,ဂါဇာအပစ်ရပ်ရေး ဟားမတ်စ်များ အဆိုပြု,ဂါဇာအပစ်ရပ်ရေးအအအအအအအအအအအအအအ
တောင်ကိုရီးယားနှင့် ချုပ်ဆိုထားသည့် သဘောတူညီချက်များကို မြောက်ကိုရီးယား ဖျက်သိမ်း,တောင်ကိုရီးယားနှင့် ချုပ်ဆိုထားသည့် စီးပွားရေးပူးပေါင်းဆောင်ရွက်မှု မြှင့်တင်ရေး သဘောတူညီချက်များ ဖျက်သိမ်းရန် မြောက်ကိုရီးယား တောင်းဆို,ကိုရီးယားနှင့်တောင်ကိုရီးယား စီးပွားရေးပူးပေါင်းဆောင်ရွက်မှု ဖျက်သိမ်း,တောင်ကိုရီးယားယားအရေးအရေးအရေးကိုရီးယားအတင်
ဇာပိုရစ်ရှ်ဇီယာ နျူးကလီးယား ဓာတ်အားပေးစက်ရုံကို IAEA အကြီးအကဲ ကြည့်ရှုစစ်ဆေး,ကုလသမဂ္ဂ အဏုမြူစွမ်းအင်အေဂျင်စီ အကြီးအကဲ ရာဖယ် ဂရောက်ဇီ ရုရှားသိမ်းပိုက်,ယူကရိန်းရှိ ရုရှားသိမ်းပိုက်နယ်မြေကို စောင့်ကြည့်မည်ဟု ကုလအကြီးအကဲပြော,ဂါဇာရှိနျူးကလီးယားကလီးယားကရေငုပ်ရေငုပ်ရေငုပ်အ
မော်စကိုတွင် ဆိုင်ကလုန်းမုန်တိုင်းကြောင့် ဆီးနှင်းများ ထူထပ်စွာကျရောက်,ရုရှားမြို့တော်မော်စကိုတွင် နှင်းမုန်တိုင်းကျရောက်ပြီး ၂၅ နှစ်အတွင်း စံချိန်ချိုးနိုင်မည်,မော်စကိုတွင် နှင်းမုန်တိုင်း ၂၅ နှစ်အတွင်း အများဆုံးစံချိန်ချိုးနိုင်မည်,ရုရှားနိုင်ငံတွင်မုန်တိုင်းအတွင်းအအအအအအအ
